Correct,D,C,C,B,A,A,B,C,C,B,D,B,D,C,C,D,E,D,D,C,D,B,D,B,B,D,D,B,A,B,D,D,C,B,C,A,B,A,E,D
1,D,C,C,B,D,A,B,C,C,B,D,C,D,C,C,D,E,D,B,D,D,B,B,B,B,A,D,B,D,B,D,D,C,B,B,A,B,A,E,D
2,D,C,C,B,A,A,B,C,A,B,D,B,D,C,C,D,E,C,D,C,D,B,B,B,B,D,D,B,D,B,D,D,C,B,B,A,B,A,E,C
3,D,C,C,B,D,A,B,C,C,C,D,C,D,C,B,D,B,D,D,C,D,B,D,D,B,D,C,C,D,B,C,D,C,B,D,A,B,B,D,D
4,D,B,C,A,A,A,B,C,B,A,D,C,B,D,A,B,A,B,D,C,D,A,D,B,A,D,A,B,D,B,C,D,C,D,A,C,C,B,E,D
5,C,C,C,B,A,A,D,B,C,D,B,C,D,C,B,D,B,D,B,C,D,D,D,B,D,A,D,B,D,B,C,D,C,B,A,C,C,D,E,D
6,C,C,A,B,A,A,B,C,C,B,D,B,C,C,B,D,E,D,D,C,C,B,D,B,B,D,D,A,D,B,D,D,C,B,C,A,B,A,E,D
7,D,C,C,B,C,A,B,C,C,C,D,B,D,C,C,D,E,C,D,C,D,B,B,B,B,D,A,B,D,B,D,D,C,B,C,A,B,A,E,D
8,D,D,C,B,C,A,B,D,B,B,D,C,C,D,B,B,E,D,B,C,D,A,B,D,C,A,D,B,A,B,A,D,C,A,B,D,A,D,C,C
9,D,C,C,B,C,A,B,C,A,B,D,B,D,C,B,D,E,D,D,C,D,B,D,B,B,D,D,B,D,B,D,D,C,B,C,B,C,B,A,D
10,D,C,D,C,D,A,B,C,C,B,D,B,C,B,C,D,E,D,D,C,D,B,D,B,B,D,A,A,D,B,C,D,C,B,C,B,C,A,E,D
11,D,C,C,B,A,A,B,C,A,B,D,B,C,B,B,D,E,D,D,C,D,A,D,D,B,D,D,B,D,B,D,D,C,B,C,B,B,A,E,D
